제목,언론사,날짜,링크
윤종규 KB금융 회장 “물러나겠다”,조선일보,20230806,https://www.chosun.com/economy/money/2023/08/06/4PM5W72MVNAILEXKVKBVAVL4WI/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
물러나는 윤종규 회장…차기 KB금융 수장 누가 거론되나,뉴시스,20230807,http://www.newsis.com/view/?id=NISX20230807_0002404534&cID=15003&pID=15000
KB금융 차기 회장 후보 내부 4명·외부 2명,한국경제,20230808,https://www.hankyung.com/economy/article/2023080848511
"KB금융, AI·헬스케어 등 스타트업 모집…계열사 연계 지원",연합뉴스,20230809,https://www.yna.co.kr/view/AKR20230809132700002?input=1195m
"KB금융, 챗GPT 등 스타트업 대상 ‘KB스타터스’ 모집",이코노미스트,20230810,https://economist.co.kr/article/view/ecn202308100003
"KB금융, 태풍 '카눈' 피해지역 복구 위해 금융지원",뉴시스,20230811,http://www.newsis.com/view/?id=NISX20230811_0002410932&cID=15003&pID=15000
KB Pay 리브메이트 오늘의 퀴즈 정답 8월 12일,bnt뉴스,20230812,https://www.bntnews.co.kr/article/view/bnt202308120008
'리딩금융' 이끈 KB 윤종규도 물러난다…금융지주 CEO 장기집권 시대 끝,더팩트,20230813,http://news.tf.co.kr/read/economy/2036271.htm
"""AI가 금융비서""…KB손보, 미래컨택센터 구축",한국경제TV,20230814,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202308140070&t=NN
KB금융 회장 누가 될까···내부 출신 4인방 대신 익명 후보 깜짝 부상...,매경이코노미,20230815,https://www.mk.co.kr/article/10806008
"KB금융, 싱가포르 현지서 맞춤지원 … 해외시장 안착 돕는다",매일경제,20230816,https://www.mk.co.kr/article/10808837
아름다운 용퇴 결정한 윤종규 KB그룹 회장 [CEO 업&다운],SBS Biz,20230817,https://biz.sbs.co.kr/article_hub/20000131822?division=NAVER
"경상국립대, KB금융 대학배드민턴연맹전 첫 우승",뉴시스,20230818,http://www.newsis.com/view/?id=NISX20230818_0002418134&cID=10812&pID=10800
KB Pay 리브메이트 오늘의 퀴즈 정답 8월 19일 토요일,bnt뉴스,20230819,https://www.bntnews.co.kr/article/view/bnt202308190008
"KB금융, 포스트 윤종규는 누가 될까",주간한국,20230820,https://weekly.hankooki.com/news/articleView.html?idxno=7080385
"'세계 100대 은행'에 6곳 올라…KB금융 60위, 신한금융 63위",한국경제,20230821,https://www.hankyung.com/economy/article/2023082170751
KB금융 등 국내 금융 6곳 '글로벌 1000대 은행' 내 100위권 진입,SBS Biz,20230822,https://biz.sbs.co.kr/article_hub/20000132344?division=NAVER
국내 은행주 견조… KB금융 시총 21兆 돌파,뉴데일리,20230823,https://biz.newdaily.co.kr/site/data/html/2023/08/23/2023082300060.html
"KB국민카드, '퓨처나인' 7기 참여 기업 13곳 선발",뉴시스,20230824,http://www.newsis.com/view/?id=NISX20230824_0002425106&cID=15001&pID=15000
KB금융 회장 2차 숏리스트 공개 임박…외부 인사 여전히 오리무중,블로터,20230825,https://www.bloter.net/news/articleView.html?idxno=605734
"KB금융 차기회장 후보, 3명으로 좁혀진다…29일 발표",뉴시스,20230826,http://www.newsis.com/view/?id=NISX20230825_0002426743&cID=15003&pID=15000
[박종면칼럼] KB금융 회장의 자리,블로터,20230827,https://www.bloter.net/news/articleView.html?idxno=605746
"KB금융, 스타프렌즈 유튜브 영상 조회 500만 돌파",뉴시스,20230828,http://www.newsis.com/view/?id=NISX20230828_0002428272&cID=15001&pID=15000
"KB금융, 회장 후보에 허인·양종희·김병호(종합)",뉴시스,20230829,http://www.newsis.com/view/?id=NISX20230829_0002430692&cID=15001&pID=15000
"KB금융 차기 회장, 허인 vs 양종희 사실상 내부 '2파전'",뉴시스,20230830,http://www.newsis.com/view/?id=NISX20230829_0002430709&cID=15001&pID=15000
KB금융 차기 회장 경쟁… 사실상 2파전 양상,국민일보,20230831,https://news.kmib.co.kr/article/view.asp?arcid=0924318801&code=11151400&cp=nv
시니어 고객 최대 10% 금리…KB 상생금융 패키지 선보여,스포츠동아,20230901,https://sports.donga.com/article/all/20230901/120962838/4
"국민은행, KB부동산 빅데이터센터 개설",뉴시스,20230902,http://www.newsis.com/view/?id=NISX20230902_0002435569&cID=15001&pID=15000
"KB국민은행, KB부동산 빅데이터센터 개설",조선비즈,20230903,https://biz.chosun.com/stock/finance/2023/09/03/XZTWPV7BENBBFEN4O5JE7DQXCU/?utm_source=naver&utm_medium=original&utm_campaign=biz
"KB금융, 박은빈 모델 광고영상 2편 공개",뉴시스,20230904,http://www.newsis.com/view/?id=NISX20230904_0002436955&cID=15001&pID=15000
"KB금융, KLPGA 투어 스타챔피언십 7일 개막",뉴시스,20230905,http://www.newsis.com/view/?id=NISX20230905_0002438147&cID=15001&pID=15000
"KB금융, 소상공인 상생 지원 '마음가게 캠페인' 시행",뉴시스,20230906,http://www.newsis.com/view/?id=NISX20230906_0002440164&cID=15003&pID=15000
"KB금융 후원 선수, 골프 꿈나무 위해 레슨 진행",연합뉴스,20230907,https://www.yna.co.kr/view/PYH20230907157800013?input=1196m
KB금융 차기 회장 후보에 양종희 부회장…'전략·재무통'(종합),연합뉴스,20230908,https://www.yna.co.kr/view/AKR20230908130951002?input=1195m
KB금융 회장 후보에 양종희… 은행장 안 거친 첫 내부 출신,동아일보,20230909,https://www.donga.com/news/Economy/article/all/20230908/121091710/1
"非은행·해외사업 초점… KB, 리딩금융 자리 굳힌다 [KB금융 양종희 회장...",파이낸셜뉴스,20230910,http://www.fnnews.com/news/202309101808082115
"양종희 KB금융 회장 후보, 최우선 과제에 “신용 리스크 관리” 언급",이코노미스트,20230911,https://economist.co.kr/article/view/ecn202309110037
양종희 KB금융 회장 후보 “신용 위험 관리 최우선”,국민일보,20230912,https://news.kmib.co.kr/article/view.asp?arcid=0924320541&code=11151300&cp=nv
"'양종희호' KB금융, 비은행 넘어 비금융까지 인수할까",뉴시스,20230913,http://www.newsis.com/view/?id=NISX20230912_0002447685&cID=15003&pID=15000
"국민은행, KB스타클럽 최초 등록 고객 대상 이벤트",부산일보,20230914,https://www.busan.com/view/busan/view.php?code=2023091415500040748
"KB금융, 국제 연안 정화의 날 맞아 '바다의 아마존, 잘피숲' 영상 공개",뉴시스,20230915,http://www.newsis.com/view/?id=NISX20230915_0002451548&cID=15003&pID=15000
KB Pay 리브메이트 오늘의 퀴즈 정답 9월 16일,bnt뉴스,20230916,https://www.bntnews.co.kr/article/view/bnt202309160008
"KB국민카드, '쿠팡 와우 카드' 출시한다",연합뉴스,20230917,https://www.yna.co.kr/view/AKR20230916022400002?input=1195m
"KB국민은행 임직원, '현충원 묘역관리 봉사활동' 실시",뉴스1,20230918,https://www.news1.kr/articles/5174991
'제16회 KB금융그룹배 여자아마추어 골프선수권대회' 20일 개막,일간스포츠,20230919,https://isplus.com/article/view/isp202309190059
‘스타 산실’ KB금융그룹배 여자아마 골프선수권대회 개막,국민일보,20230920,https://news.kmib.co.kr/article/view.asp?arcid=0018688704&code=61161511&cp=nv
"KB증권, 자립준비청년지원단 금융교육 실시",뉴시스,20230921,http://www.newsis.com/view/?id=NISX20230921_0002458726&cID=15001&pID=15000
"이승민, 'KB금융그룹배 여자아마추어 골프선수권대회' 우승",뉴시스,20230922,http://www.newsis.com/view/?id=NISX20230922_0002460896&cID=15003&pID=15000
KB Pay 리브메이트 오늘의 퀴즈 정답 9월 23일,bnt뉴스,20230923,https://www.bntnews.co.kr/article/view/bnt202309230007
KB Pay 리브메이트 오늘의 퀴즈 정답 9월 24일,bnt뉴스,20230924,https://www.bntnews.co.kr/article/view/bnt202309240004
윤종규 KB금융 회장 “3연임 당시 이미 용퇴 결정…인수인계 잘 할 것”,이코노미스트,20230925,https://economist.co.kr/article/view/ecn202309250013
‘실적 잔치’ 끝난 금융지주 3분기 먹구름… KB금융만 ‘맑음’,조선비즈,20230926,https://biz.chosun.com/stock/finance/2023/09/26/AFYLZOWYQVDVVBNDL44LEPLMTM/?utm_source=naver&utm_medium=original&utm_campaign=biz
"윤종규 KB금융 회장의 당부…""넘버원을 넘어 온리원으로""",한국경제,20230927,https://www.hankyung.com/article/202309272274i
KB Pay 리브메이트 오늘의 퀴즈 정답 9월 28일,bnt뉴스,20230928,https://www.bntnews.co.kr/article/view/bnt202309280029
KB Pay 리브메이트 오늘의 퀴즈 정답 9월 29일,bnt뉴스,20230929,https://www.bntnews.co.kr/article/view/bnt202309290005
KB Pay 리브메이트 오늘의 퀴즈 정답 9월 30일,bnt뉴스,20230930,https://www.bntnews.co.kr/article/view/bnt202309300006
"[비즈토크<상>] '용퇴' 윤종규 KB금융 회장 9년 회고…""아쉬움 남아""",더팩트,20231001,http://news.tf.co.kr/read/economy/2046822.htm
KB Pay 리브메이트 오늘의 퀴즈 정답 10월 2일,bnt뉴스,20231002,https://www.bntnews.co.kr/article/view/bnt202310020009
'1등 DNA' 살리고 M&A 선구안…KB금융 '황금기' 만든 윤종규 회장,뉴시스,20231003,http://www.newsis.com/view/?id=NISX20230927_0002466612&cID=15003&pID=15000
"주택담보대출 금리, 대부분 4%대에 쏠렸다",아시아경제,20231004,https://view.asiae.co.kr/article/2023100410095391244
"이복현, KB금융 회장 선임절차 언급 ""후보 먼저 정하고 룰 세워""",파이낸셜뉴스,20231005,http://www.fnnews.com/news/202310051414574499
"KB금융, 은행 정책 비판 리포트 삭제",뉴시스,20231006,http://www.newsis.com/view/?id=NISX20231005_0002472927&cID=15001&pID=15000
"""3분기도 장사 잘한 은행들""…KB는 선두 굳히기",뉴시스,20231007,http://www.newsis.com/view/?id=NISX20231005_0002472328&cID=15001&pID=15000
KB Pay 리브메이트 오늘의 퀴즈 정답 10월 8일,bnt뉴스,20231008,https://www.bntnews.co.kr/article/view/bnt202310080014
"전세 폐지론 커지지만…KB연구소 ""아파트는 유지 불가피""",블로터,20231009,https://www.bloter.net/news/articleView.html?idxno=607109
"KB금융, 견조한 이익 지속…목표가↑-SK",아이뉴스24,20231010,http://www.inews24.com/view/1640048
"김주현 ""KB금융 보고서에 국민 공감 안해…그냥 무시할 것""",뉴시스,20231011,http://www.newsis.com/view/?id=NISX20231011_0002478905&cID=15001&pID=15000
"KB금융그룹, 2023년 하반기 'KB스타터스' 23개 스타트업 선정",스포츠조선,20231012,http://sports.chosun.com/news/ntype.htm?id=202310130100076130010741&servicedate=20231012
"KB금융지주, ESG 실천...청년 IT아카데미 4기 수료식 진행",에너지경제,20231013,https://www.ekn.kr/web/view.php?key=20231013010003102
KB Pay 리브메이트 오늘의 퀴즈 정답 10월 14일,bnt뉴스,20231014,https://www.bntnews.co.kr/article/view/bnt202310140009
"4대 금융, 3분기 실적 주춤… KB금융 나홀로 성장",파이낸셜뉴스,20231015,http://www.fnnews.com/news/202310151838362809
"[단독] 정무위, 27일 국감 증인에 '윤종규 KB금융 회장' 합의",뉴스핌,20231016,http://www.newspim.com/news/view/20231016001064
"KB금융 윤종규, 지주회장 중 유일하게 국감장 선다",뉴시스,20231017,http://www.newsis.com/view/?id=NISX20231017_0002486346&cID=15001&pID=15000
다시 시작된 엘니뇨…KB금융 “농업 등 1차산업 직접적 영향”,이코노미스트,20231018,https://economist.co.kr/article/view/ecn202310180004
"윤 대통령 '지방시대' 천명…KB금융, 부산서 '최대 취업박람회'로 화답",뉴스1,20231019,https://www.news1.kr/articles/5203258
"[단독] KB증권, 국내 금융사 최초 ‘유엔 CFO연합’ 가입",헤럴드경제,20231020,http://news.heraldcorp.com/view.php?ud=20231020000126
KB Pay 리브메이트 오늘의 퀴즈 정답 10월 21일,bnt뉴스,20231021,https://www.bntnews.co.kr/article/view/bnt202310210012
조달비용 낮춘 KB금융 3분기 실적 나홀로 성장,매일경제,20231022,https://www.mk.co.kr/article/10855663
"KB금융, 글로벌 PoC 프로그램 참여 기업 모집",전자신문,20231023,https://www.etnews.com/20231023000084
"KB금융 윤종규 회장, 결국 국감장 안나간다…""해외IR로 참석 못해""",뉴시스,20231024,http://www.newsis.com/view/?id=NISX20231024_0002494711&cID=15001&pID=15000
"증권가 ""KB금융, 자사주 매입 효과 기대""",연합뉴스,20231025,https://www.yna.co.kr/view/AKR20231025025800002?input=1195m
"여야, KB금융 회장 국감 불출석에 고발·청문회 검토",더팩트,20231026,http://news.tf.co.kr/read/economy/2051643.htm
"5대 금융, 3분기까지 순이익 16조 육박…엇갈린 희비",뉴시스,20231027,http://www.newsis.com/view/?id=NISX20231027_0002499656&cID=15001&pID=15000
"활짝 웃은 KB, 추격하는 하나…엇갈린 4대 금융 실적[머니뭐니]",헤럴드경제,20231028,http://news.heraldcorp.com/view.php?ud=20231028000016
"KB금융, 'KB마음가게' 캠페인 영상 '따뜻한 밥상' 편 공개",더팩트,20231029,http://news.tf.co.kr/read/economy/2052038.htm
"KB금융, 아시안게임 선수들에 1억5000만원 격려금",뉴시스,20231030,http://www.newsis.com/view/?id=NISX20231030_0002501945&cID=15001&pID=15000
"KB증권, 소셜벤처 임직원 위한 무료 금융상담 실시",매일경제,20231031,https://www.mk.co.kr/article/10862644
"“MAU 늘려라” 뱅킹앱 전쟁… KB금융, 신한 제치고 선두",조선비즈,20231101,https://biz.chosun.com/stock/finance/2023/11/01/CGOCMUOUSJEP5EDK5IFMTYFT7I/?utm_source=naver&utm_medium=original&utm_campaign=biz
"KB운용, 올해 최고가 부동산 거래 성사… 삼성SDS타워 매입",아시아경제,20231102,https://view.asiae.co.kr/article/2023110219094310124
"""국민연금 의결권 행사 촉각""…카카오 이어 KB금융·키움증권도 영향력...",뉴시스,20231103,http://www.newsis.com/view/?id=NISX20231103_0002508631&cID=10403&pID=15000
KB Pay 리브메이트 오늘의 퀴즈 정답 11월 4일,bnt뉴스,20231104,https://www.bntnews.co.kr/article/view/bnt202311040014
"""양종희 KB금융 회장 선임 찬성""",한국경제,20231105,https://www.hankyung.com/article/2023110538521
"세계 1,2위 의결권 자문사 ""KB금융 양종희 회장 선임 찬성""",뉴시스,20231106,http://www.newsis.com/view/?id=NISX20231106_0002509993&cID=15003&pID=15000
KB가 리딩금융? 시험대 오른 박정림·김성현 리더십,머니S,20231107,http://moneys.mt.co.kr/news/mwView.php?no=2023110617144617520
"""보증금 3000만원""… KB금융 최초의 실버타운, 비용은?",머니S,20231108,http://moneys.mt.co.kr/news/mwView.php?no=2023110810534895314
"KB금융, 중소기업 패키지 상품 2종 확대",뉴시스,20231109,http://www.newsis.com/view/?id=NISX20231109_0002515260&cID=15001&pID=15000
"윤종규 KB금융 회장, 은행연합회장 후보 고사",조선비즈,20231110,https://biz.chosun.com/stock/finance/2023/11/10/3Y6D4IG47BF4VEFBQENG23NQNA/?utm_source=naver&utm_medium=original&utm_campaign=biz
"윤종규 KB금융 회장, 차기 은행연합회장 후보직 고사",더팩트,20231111,http://news.tf.co.kr/read/economy/2054822.htm
윤종규 KB금융 회장 고사에 은행연합회 회장 5파전,부산일보,20231112,https://www.busan.com/view/busan/view.php?code=2023111218190069115
"KB운용, 편입 부동산 美 ESG '골드' 등급 획득",뉴시스,20231113,http://www.newsis.com/view/?id=NISX20231113_0002519387&cID=15001&pID=15000
은행연합회장에 영월출신 임영록 전KB금융지주 회장 유력 거론,강원일보,20231114,https://www.kwnews.co.kr/page/view/2023111411352161477
"국민연금, KB금융 양종희 회장 선임에 '찬성'",뉴시스,20231115,http://www.newsis.com/view/?id=NISX20231115_0002522900&cID=10403&pID=15000
이예원의 KB금융 '으쓱'…임희정의 두산건설 '씁쓸',한국경제,20231116,https://www.hankyung.com/article/2023111625561
"KB금융, 주총서 '양종희 회장 선임' 가결…""막중한 책임감""",뉴시스,20231117,http://www.newsis.com/view/?id=NISX20231117_0002525370&cID=15003&pID=15000
양종희 KB금융회장 공식 선임,동아일보,20231118,https://www.donga.com/news/People/article/all/20231117/122238030/1
"""막중한 책임감""… KB금융 '양종희 號'에 놓인 5가지 숙제, 어떻게 풀까...",디지털데일리,20231119,https://www.ddaily.co.kr/page/view/2023111821344760990
"'리딩 KB금융' 이끈 윤종규 회장, '노란 넥타이' 푼다",머니투데이,20231120,http://news.mt.co.kr/mtview.php?no=2023112014452564442
양종희 KB금융 회장 “국민과 함께 성장하는 KB금융 만들자”,이코노미스트,20231121,https://economist.co.kr/article/view/ecn202311210017
"KB금융지주, 허인·이동철 부회장 사임",조선비즈,20231122,https://biz.chosun.com/stock/finance/2023/11/22/PBD7BZ4DZBBCJD3O3RV7LCRK2I/?utm_source=naver&utm_medium=original&utm_campaign=biz
"[금융가 인사이드] KB금융, 9년 만에 수장 교체…앞으로의 과제는?",SBS Biz,20231123,https://biz.sbs.co.kr/article_hub/20000145463?division=NAVER
"KB국민카드, 2023 한국ESG기준원 ESG평가 금융회사 지배구조 우수기업 수...",연합뉴스,20231124,https://www.yna.co.kr/view/PYH20231124084600013?input=1196m
KB Pay 리브메이트 오늘의 퀴즈 정답 11월 25일,bnt뉴스,20231125,https://www.bntnews.co.kr/article/view/bnt202311250023
"KB금융, ""노후에 필요한 적정생활비 월 369만원""",데이터뉴스,20231126,http://www.datanews.co.kr/news/article.html?no=130419
"KB금융, 플랫폼 경쟁력 강화·인재 육성 'KB 테크포럼' 개최",뉴시스,20231127,http://www.newsis.com/view/?id=NISX20231127_0002535914&cID=15003&pID=15000
"KB금융, '스타프렌즈' 온오프라인 전시회 개최",뉴시스,20231128,http://www.newsis.com/view/?id=NISX20231128_0002537732&cID=15003&pID=15000
박정림 KB증권 대표에 중징계…KB금융 부회장단 밑그림에 영향 불가피,블로터,20231129,https://www.bloter.net/news/articleView.html?idxno=608871
