제목,언론사,날짜,링크
삼성‧대우 격파한 포스코이앤씨···올해 수주 '왕좌' 노린다,서울파이낸스,20240210,http://www.seoulfn.com/news/articleView.html?idxno=509795
평사원에서 CEO까지···직장인 신화 이룬 건설사 CEO 3인방,서울파이낸스,20240211,http://www.seoulfn.com/news/articleView.html?idxno=510036
"대우건설, 임직원자녀 겨울방학 영어캠프 '성료'",남도일보,20240212,http://www.namdonews.com/news/articleView.html?idxno=758308
[단독] 가락삼익맨숀 재건축 입찰서 대우건설 철회,머니S,20240213,https://www.moneys.co.kr/article/2024021314302158016
"대우건설 ""신에너지 사업 신성장동력으로 육성""",연합뉴스,20240214,https://www.yna.co.kr/view/AKR20240214039100003?input=1195m
"대우건설, 4600가구 미분양 손실 '1100억' 대손상각비 반영",블로터,20240215,https://www.bloter.net/news/articleView.html?idxno=612240
"대우건설, 입주민 대상 와인클래스 개최",대한경제,20240216,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202402161008201100698
"대우건설, 푸르지오 입주민 대상 '와인 클래스'",신아일보,20240217,http://www.shinailbo.co.kr/news/articleView.html?idxno=1829768
대우건설 ‘푸르지오’ 입주민 대상 와인 클래스 개최,스카이데일리,20240218,https://www.skyedaily.com/news/news_view.html?ID=221647
"대우건설, 입주민 문화생활 '푸르지오 와인클래스' 운영",뉴스프리존,20240219,https://www.newsfreezone.co.kr/news/articleView.html?idxno=548957
'국평 27억' 개포주공5단지 재건축 수주전에 대우·포스코 대결 유력,한국경제,20240220,https://www.hankyung.com/article/202402206317i
`강남 노른자` 개포주공5단지 재건축… 대우·포스코 2파전 예고,디지털타임스,20240221,https://www.dt.co.kr/contents.html?article_no=2024022202101763066001&ref=naver
"위기에 강한 DNA... 대우건설, 세계 건설 디벨로퍼 목표 순항",파이낸셜리뷰,20240222,http://www.financialreview.co.kr/news/articleView.html?idxno=27517
"대우건설·삼성물산·현대건설, 재개발·재건축 조합에 공사비 증액 요...",CEO스코어데일리,20240223,https://www.ceoscoredaily.com/page/view/2024022316280105344
"건설사들의 생존 전략...""신재생에너지로 사업 다각화""",YTN,20240224,https://www.ytn.co.kr/_ln/0102_202402242217579477
"개포주공5단지, 대우건설vs포스코이앤씨 리턴매치?",대한경제,20240225,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202402231415149880996
"대우건설, 나이지리아 NLNG 현장 액화 설비 설치",파이낸셜뉴스,20240226,http://www.fnnews.com/news/202402261823506845
"대우건설, GTX-B 민자사업자 실시협약안 국토부 심의 통과",뉴시스,20240227,http://www.newsis.com/view/?id=NISX20240227_0002641516&cID=10802&pID=14000
"대우건설, 평택 푸르지오 센터파인 3월 분양 시작",뉴스1,20240228,https://www.news1.kr/articles/5334469
"대우건설, 4390억 규모 한국초저온 인천물류센터 신축사업 수주",뉴스1,20240229,https://www.news1.kr/articles/5336019
"대우건설, 국내 최대규모 한국초저온 인천물류센터 수주",FETV,20240301,https://www.fetv.co.kr/news/article.html?no=160026
