제목,언론사,날짜,링크
"삼성전자, 아카데미 시상식서 '갤럭시Z플립' 공개",조선비즈,20200210,https://biz.chosun.com/site/data/html_dir/2020/02/10/2020021002828.html?utm_source=naver&utm_medium=original&utm_campaign=biz
"[단독]삼성전자, ‘신종코로나’에 'SW역량테스트' 연기",이데일리,20200211,http://www.edaily.co.kr/news/newspath.asp?newsid=03834326625669536
"삼성전자, 갤럭시S20 '괴물 카메라'에 들어간 초고화소 이미지센서 출시",조선비즈,20200212,https://biz.chosun.com/site/data/html_dir/2020/02/12/2020021202682.html?utm_source=naver&utm_medium=original&utm_campaign=biz
"삼성전자 ""이재용 부회장 불법 투약 사실 전혀 없어""",YTN,20200213,https://www.ytn.co.kr/_ln/0102_202002131136530273
이상훈 삼성전자 이사회 의장 사임...차기 의장 누가 될까(종합),뉴시스,20200214,http://www.newsis.com/view/?id=NISX20200214_0000919619&cID=13001&pID=13000
"이란 외무부 대변인, 삼성전자 매장 간판 철거 사진 올리며 불만 표출",서울경제,20200215,https://www.sedaily.com/NewsView/1YYXKVKINF
"""언팩도 생중계""...'애플 본사에서 20분 거리' 삼성전자 체험 매장 가보...",조선비즈,20200216,https://biz.chosun.com/site/data/html_dir/2020/02/16/2020021600645.html?utm_source=naver&utm_medium=original&utm_campaign=biz
Z플립 효과..삼성전자 주가 어디까지,뉴시스,20200217,http://www.newsis.com/view/?id=NISX20200217_0000921391&cID=10401&pID=10400
"35년 연속 매출 50위권 기업은 삼성전자 등 8곳 뿐…""성장 둔화""",연합뉴스,20200218,http://yna.kr/AKR20200217157500003?did=1195m
삼성전자 '30% 상한제' 조기적용 안한다,경향신문,20200219,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202002191609001&code=920100
"[단독]삼성전자, 21일 이사회..후임 이사회 의장 선임 논의",이데일리,20200220,http://www.edaily.co.kr/news/newspath.asp?newsid=02637126625672488
"삼성전자, 이사회 의장에 박재완 선임…""첫 사외이사 의장""(종합)",연합뉴스,20200221,http://yna.kr/AKR20200221062151003?did=1195m
삼성전자 구미사업장 직원도…24일까지 '폐쇄',MBC,20200222,https://imnews.imbc.com/replay/2020/nwdesk/article/5664116_32524.html
"삼성전자, 美 5위 통신사에 5G·4G 통신장비 공급",한국경제TV,20200223,http://news.wowtv.co.kr/NewsCenter/News/Read?articleId=A202002230018&t=NN
삼성→구미·LG→인천 다 뚫렸다…전자업계 코로나 '초비상',한국경제,20200224,https://www.hankyung.com/economy/article/2020022493577
"삼성전자, 괴물스펙 '16GB 모바일D램' 세계최초 양산",한국경제,20200225,https://www.hankyung.com/economy/article/202002252942g
삼성전자 배당금 총액 9조6192억원 '압도적 1위'...현대차 1조535억 '2위',뉴시스,20200226,http://www.newsis.com/view/?id=NISX20200226_0000932364&cID=13001&pID=13000
"삼성전자, 스마트워치 2종 오는 28일 출시",아이뉴스24,20200227,http://www.inews24.com/view/1245831
"""한국 경제 최악 시나리오는 코로나19로 삼성전자 생산 차질""",한국경제,20200228,https://www.hankyung.com/international/article/202002281571i
"삼성전자 구미 사업장, 두 번째 코로나19 확진자 발생",한국경제,20200229,https://www.hankyung.com/economy/article/2020022947447
삼성전자 구미1·2사업장서 잇따라 코로나19 확진자 발생,매일경제,20200301,http://news.mk.co.kr/newsRead.php?no=212955&year=2020
"삼성전자, 2020년형 QLED 8K TV 사전판매 실시",뉴시스,20200302,http://www.newsis.com/view/?id=NISX20200302_0000938434&cID=13001&pID=13000
삼성전자 '갤럭시Z플립' 완판 행진…日·中서도 잇단 인기몰이,아이뉴스24,20200303,http://www.inews24.com/view/1247140
"삼성전자, 지난해 전 세계 스마트폰 판매량 1위 지켜",조선비즈,20200304,https://biz.chosun.com/site/data/html_dir/2020/03/04/2020030403023.html?utm_source=naver&utm_medium=original&utm_campaign=biz
"삼성전자, 뉴질랜드 스파크와 5G 장비 공급 계약",전자신문,20200305,http://www.etnews.com/20200305000004
삼성전자 코로나에 일부생산라인 베트남으로,서울경제,20200306,https://www.sedaily.com/NewsView/1Z03FGG00K
[코로나19 '심각'] 삼성전자 구미사업장 한시적 가동 중단,더팩트,20200307,http://news.tf.co.kr/read/economy/1784599.htm
"[속보] 삼성전자 반도체 화성공장 화재...""연기 수십m 치솟아""",YTN,20200308,https://www.ytn.co.kr/_ln/0103_202003082357082248
"삼성전자 화성공장 불 2시간30분만에 완진…""인명피해 없어""(종합2보)",연합뉴스,20200309,http://yna.kr/AKR20200309000552061?did=1195m
[단독]‘무노조 폐기’ 등 달라진 환경에 삼성전자 임금협상 난항,이데일리,20200310,http://www.edaily.co.kr/news/newspath.asp?newsid=04004886625702008
멜라토닌 조절로 수면 질·집중력↑…삼성전자 LED 패키지 출시,연합뉴스,20200311,http://yna.kr/AKR20200311046300003?did=1195m
"삼성전자 QLED 8K, 미국서 '최고의 TV' 호평",뉴시스,20200312,http://www.newsis.com/view/?id=NISX20200312_0000952459&cID=13001&pID=13000
