제목,언론사,날짜,링크
"삼성SDI-스텔란티스, 美 배터리 합작 '조기 가동' 띄운다",전자신문,20240101,https://www.etnews.com/20231228000244
"[신년사] 최윤호 삼성SDI 사장 ""차원 다른 변화와 혁신 필요""",연합뉴스,20240102,https://www.yna.co.kr/view/AKR20240102033300003?input=1195m
전기차 침체가 ‘기회’…투자 속도 높이는 삼성SDI,이투데이,20240103,https://www.etoday.co.kr/news/view/2317717
더 끈끈해진 '삼성·현대차 동맹'…이번엔 SW 공동개발,한국경제,20240104,https://www.hankyung.com/article/2024010428621
"다올투자증권, LG엔솔·삼성SDI 목표가↓…""전기차 수요 둔화""",연합뉴스,20240105,https://www.yna.co.kr/view/AKR20240105028600002?input=1195m
반발매수에 다우ㆍ나스닥 '훨훨'...테슬라 하락 삼성SDIㆍ에코프로에 악...,핀포인트뉴스,20240106,https://www.pinpointnews.co.kr/news/articleView.html?idxno=236782
원통형 배터리 각축…'4680 大戰' SK온도 뛰어들었다,한국경제,20240107,https://www.hankyung.com/article/2024010772551
"""삼성SDI, 작년 4분기 실적 기대 이하…목표가↓""-IBK",한국경제,20240108,https://www.hankyung.com/article/2024010877566
"""삼성SDI, 올해 성장 제한적…내년부터 추가 수주 기대""-신영",한국경제,20240109,https://www.hankyung.com/article/2024010903686
"'삼성SDI, 52주 신저가' 실적 둔화 우려에 2차전지주 줄하락[핫종목]",뉴스1,20240110,https://www.news1.kr/articles/5286423
삼성SDI 최근 1년 동안 시총 감소 1위...포스코DX 증가율 최고,일간스포츠,20240111,https://isplus.com/article/view/isp202401110056
[특징주] 전기차 수요 감소에 2차전지주 약세…삼성SDI 신저가(종합),연합뉴스,20240112,https://www.yna.co.kr/view/AKR20240112040351002?input=1195m
"[모닝픽] 삼성SDI, 캐나다니켈 지분 8.7% 확보",글로벌이코노믹,20240113,http://www.g-enews.com/ko-kr/news/article/news_all/20240113011739428e8b8a793f7_1/article.html
코스피 주간 외국인 순매도 1위 ‘삼성SDI’,이데일리,20240114,http://www.edaily.co.kr/news/newspath.asp?newsid=01246406638757720
"삼성SDI, 캐나다산 니켈 확보…현지 기업 지분 투자",뉴스1,20240115,https://www.news1.kr/articles/5290931
"홍해 사태 격화, 해운주는 웃겠지만·니켈광산 산 삼성SDI [신인규의 이...",한국경제TV,20240116,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202401160032&t=NN
"KB증권, 삼성SDI 목표가↓…""4분기 영업익 컨센서스 하회 전망""",연합뉴스,20240117,https://www.yna.co.kr/view/AKR20240117025400002?input=1195m
"[특징주] 삼성SDI, 전기차 수요 둔화 우려 속 52주 신저가",연합뉴스,20240118,https://www.yna.co.kr/view/AKR20240118035000002?input=1195m
"'美 기술주 훈풍' 코스피, 1%대 올라 2470선…삼성전자 2%대↑",이데일리,20240119,http://www.edaily.co.kr/news/newspath.asp?newsid=01685926638759360
"[종목분석] 삼성SDI, 전방 수요 둔화에도 기대감 여전",EBN,20240120,https://www.ebn.co.kr/news/view/1609314/?sc=Naver
"공매도 금지 두달째…외인 던진 이차전지, 개미가 받았다",이투데이,20240121,https://www.etoday.co.kr/news/view/2323128
"[단독]삼성SDI, 스텔란티스와 美 IRA 보조금 협상 완료",이데일리,20240122,http://www.edaily.co.kr/news/newspath.asp?newsid=03250486638760344
"""삼성SDI 목표가 100만원→60만원 하향 조정""…왜?",이데일리,20240123,http://www.edaily.co.kr/news/newspath.asp?newsid=01426806638760672
"삼성SDI, 울산에 ‘1兆 규모’ 양극재·배터리 생산공장 짓는다",파이낸셜뉴스,20240124,http://www.fnnews.com/news/202401241819145432
"LG엔솔·삼성SDI·SK온 ""차세대 배터리를 잡아라""",디지털타임스,20240125,https://www.dt.co.kr/contents.html?article_no=2024012602101232049001&ref=naver
