제목,언론사,날짜,링크
"[단독]작년 KB·신한·하나·우리금융 퇴직임원 92명, 고문으로 재취업",아시아투데이,20240101,https://www.asiatoday.co.kr/view.php?key=20240101010000490
"양종희 KB금융 회장 ""올해 상생과 공존으로 위기 극복""",한국경제,20240102,https://www.hankyung.com/article/202401025479i
[Who Is ?] 양종희 KB금융지주 대표이사 회장,비즈니스포스트,20240103,https://www.businesspost.co.kr/BP?command=article_view&num=338065
KB Pay 리브메이트 오늘의 퀴즈 정답 1월 4일,bnt뉴스,20240104,https://www.bntnews.co.kr/article/view/bnt202401040031
KB Pay 리브메이트 오늘의 퀴즈 정답 1월 5일,bnt뉴스,20240105,https://www.bntnews.co.kr/article/view/bnt202401050021
KB Pay 리브메이트 오늘의 퀴즈 정답 1월 6일,bnt뉴스,20240106,https://www.bntnews.co.kr/article/view/bnt202401060013
"KB금융, 피겨 꿈나무들에 5000만원 장학금 전달",아이뉴스24,20240107,http://www.inews24.com/view/1673646
"KB금융, 피겨 유망주 10명에 장학금 5000만원 전달",뉴시스,20240108,http://www.newsis.com/view/?id=NISX20240108_0002584187&cID=10501&pID=10500
[인사]KB금융지주·국민은행,한국경제,20240109,https://www.hankyung.com/article/202401092982i
[인사] KB금융지주·국민은행,머니S,20240110,http://moneys.mt.co.kr/news/mwView.php?no=2024011008121856405
"[단독] KB국민은행, 올해 인도서 첸나이·푸네 지점 두곳 늘린다",머니S,20240111,http://moneys.mt.co.kr/news/mwView.php?no=2024011016522645542
"""KB금융, 펀더멘털 외적 요인으로 인한 불확실성""",인사이트코리아,20240112,http://www.insightkorea.co.kr/news/articleView.html?idxno=126755
"KB금융그룹 ""실적도 ESG도 리딩""...타이틀 굳힐까",뉴스포스트,20240113,http://www.newspost.kr/news/articleView.html?idxno=113957
"이재근 KB국민은행장 ""향후 3년이 전통은행 명운 좌우""",연합뉴스,20240114,https://www.yna.co.kr/view/AKR20240114013100002?input=1195m
"KB금융, '5조 클럽' 입성하나… 상생금융 지원에 실적 전망치 하향",머니S,20240115,https://www.moneys.co.kr/article/2024011214152947828
"KB국민은행, 인천국제공항 영업점·환전소 문 열어",연합뉴스,20240116,https://www.yna.co.kr/view/AKR20240116105800002?input=1195m
"KB국민은행, 3721억원 민생금융 지원…은행권 최대 규모",뉴스1,20240117,https://www.news1.kr/articles/5292913
"KB국민은행, 인천국제공항 입점 기념 디지털 광고 공개",파이낸셜뉴스,20240118,http://www.fnnews.com/news/202401181608424552
"KB금융, 지속가능한 글로벌 100대 기업 선정",뉴시스,20240119,http://www.newsis.com/view/?id=NISX20240119_0002598129&cID=15001&pID=15000
KB Pay 리브메이트 오늘의 퀴즈 정답 1월 20일,bnt뉴스,20240120,https://www.bntnews.co.kr/article/view/bnt202401200007
"KB금융, 2년 연속 '지속가능한 글로벌 100대 기업' 선정",스포츠조선,20240121,http://sports.chosun.com/news/ntype.htm?id=202401210100135570018722&servicedate=20240121
"KB證, 2024 경영전략 워크숍 개최",아시아경제,20240122,https://view.asiae.co.kr/article/2024012213402046177
"KB금융, 서천시장 화재 피해 소상공인 지원",뉴시스,20240123,http://www.newsis.com/view/?id=NISX20240123_0002602300&cID=15001&pID=15000
"KB금융, 서천시장 화재 피해 소상공인 긴급 지원",매일일보,20240124,http://www.m-i.kr/news/articleView.html?idxno=1087066
KB Pay 리브메이트 오늘의 퀴즈 정답 1월 25일,bnt뉴스,20240125,https://www.bntnews.co.kr/article/view/bnt202401250020
"KB금융, ‘천원의 아침밥’ 사업 동참",이데일리,20240126,http://www.edaily.co.kr/news/newspath.asp?newsid=02788006638761656
KB금융 '천원의 아침밥' 사업 확대 동참… 100만명분 식사 지원,천지일보,20240127,https://www.newscj.com/news/articleView.html?idxno=3103690
"KB금융, ‘레전드 3인'과 2024 올림피언 토크콘서트",한국경제,20240128,https://www.hankyung.com/article/202401286390i
"KB금융, '강원 2024 올림피언 토크콘서트' 성황리 개최",데일리한국,20240129,https://daily.hankooki.com/news/articleView.html?idxno=1046210
"KB금융, '블라인드 펀드 ESG투자 모범기준' 수립",뉴시스,20240130,http://www.newsis.com/view/?id=NISX20240130_0002609491&cID=15003&pID=15000
"KB금융, 스타트업 육성·지원…'KB스타터스' 모집",뉴시스,20240131,http://www.newsis.com/view/?id=NISX20240131_0002611432&cID=15003&pID=15000
"KB국민은행, 은행권 최대 3700억원 규모 민생금융 지원",뉴스핌,20240201,https://www.newspim.com/news/view/20240201000846
KB Pay 리브메이트 오늘의 퀴즈 정답 2월 2일,bnt뉴스,20240202,https://www.bntnews.co.kr/article/view/bnt202402020010
KB Pay 리브메이트 오늘의 퀴즈 정답 2월 3일,bnt뉴스,20240203,https://www.bntnews.co.kr/article/view/bnt202402030008
KB Pay 리브메이트 오늘의 퀴즈 정답 2월 4일,bnt뉴스,20240204,https://www.bntnews.co.kr/article/view/bnt202402040013
전세사기 피해 구제·예방…'KB 전세안심 프로그램' 시행,아시아경제,20240205,https://view.asiae.co.kr/article/2024020511153980489
"‘36년 KB맨’ 양종희 회장, 든든한 조력자 자처[피플&피플]",이코노미스트,20240206,https://economist.co.kr/article/view/ecn202401240029
"KB금융, 작년 순익 4조6319억원 달성 ‘역대 최대’",이코노미스트,20240207,https://economist.co.kr/article/view/ecn202402070028
"KB금융, S&P글로벌 지속가능성 평가 '상위 1%' 선정",뉴시스,20240208,http://www.newsis.com/view/?id=NISX20240208_0002622242&cID=15001&pID=15000
"4대 금융, 지난해 실적 KB금융 '웃고' 우리금융 '울고'",이투데이,20240209,https://www.etoday.co.kr/news/view/2329971
KB 웃고 우리는 ‘울상’… 4대 금융지주 2023년 실적 희비 엇갈려,세계일보,20240210,http://www.segye.com/newsView/20240208509658?OutUrl=naver
충당금 확대·상생금융에 금융지주 한숨…KB만 웃었다,블로터,20240211,https://www.bloter.net/news/articleView.html?idxno=612077
KB Pay 리브메이트 오늘의 퀴즈 정답 2월 12일,bnt뉴스,20240212,https://www.bntnews.co.kr/article/view/bnt202402120006
"KB금융지주, 지난해 4분기 관심도 ‘1위’…하나·우리금융 순",조세일보,20240213,http://www.joseilbo.com/news/news_read.php?uid=509690&class=18&grp=
"[단독]칼라일, KB금융 3298억 규모 주식 블록딜 추진",서울경제,20240214,https://www.sedaily.com/NewsView/2D5CWCK0NK
"칼라일, 3260억 규모 KB금융 지분 블록딜 성공",매일경제,20240215,https://www.mk.co.kr/article/10943013
"[증시 종합] 현대차·기아. 삼성물산·SDI, LG화학·엔솔, KB금융, 알테오...",에너지경제,20240216,https://www.ekn.kr/web/view.php?key=20240216022419270
KB Pay 리브메이트 오늘의 퀴즈 정답 2월 17일,bnt뉴스,20240217,https://www.bntnews.co.kr/article/view/bnt202402170009
KB Pay 리브메이트 오늘의 퀴즈 정답 2월 18일,bnt뉴스,20240218,https://www.bntnews.co.kr/article/view/bnt202402180006
KB도 참전…금융권 `무료 환전` 진검 승부,디지털타임스,20240219,https://www.dt.co.kr/contents.html?article_no=2024022002100863084001&ref=naver
"[K-금융 미래 먹거리]⑥ KB국민은행, KB만의 금융 플랫폼 생태계 구축 총...",한스경제,20240220,http://www.hansbiz.co.kr/news/articleView.html?idxno=681093
"KB금융, 신임 사외이사 후보에 이명활 한국금융硏 선임연구위원 추천",뉴시스,20240221,http://www.newsis.com/view/?id=NISX20240221_0002634479&cID=15003&pID=15000
"KB금융, 4천억 신종자본증권 발행조건 확정…""건전성 강화""",SBS Biz,20240222,https://biz.sbs.co.kr/article_hub/20000158208?division=NAVER
"은행없는 삼성금융, KB 넘어 '순익 1위'",한국경제,20240223,https://www.hankyung.com/article/2024022363841
KB Pay 리브메이트 오늘의 퀴즈 정답 2월 24일,bnt뉴스,20240224,https://www.bntnews.co.kr/article/view/bnt202402240009
"'KB프라삭은행' 출범…양종희 회장 ""캄보디아 고객과 함께 성장""",뉴시스,20240225,http://www.newsis.com/view/?id=NISX20240225_0002638385&cID=15003&pID=15000
