제목,언론사,날짜,링크
"[PMPS S3] 디플러스 기아, GF 2일차 1위 탈환...""내일 우승하는 팀은 우리...",아시아투데이,20241005,https://www.asiatoday.co.kr/view.php?key=20241005002030445
"현대차·기아, 싱가포르서 신차 판매 2배 늘었다",뉴시스,20241006,https://www.newsis.com/view/NISX20241006_0002909808
"기아 RV, 국내 판매 첫 '톱3' 독식하나",한국경제TV,20241007,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202410070007&t=NN
기아 임단협 마무리할까…8일 2차 합의안 찬반투표,뉴시스,20241008,https://www.newsis.com/view/NISX20241007_0002911675
"기아 혁신의 깨달음 ""변화가 발전의 증거""",매일경제,20241009,https://www.mk.co.kr/article/11135693
현대·기아·GM 등 10개 차종 60만여대 자발적 시정조치,뉴시스,20241010,https://www.newsis.com/view/NISX20241008_0002913342
車 내수 ‘톱3’ 기아 싹쓸이… 최고 인기 모델은 ‘쏘렌토’,국민일보,20241011,https://www.kmib.co.kr/article/view.asp?arcid=1728534000&code=14140000&cp=nv
"북한 인구 절반 이상 영양부족, 갈수록 기아 심해져",뉴시스,20241012,https://www.newsis.com/view/NISX20241012_0002917471
"현대차·기아, 2024년 미국 전기차 판매 10만대 육박…사상 최대",세계일보,20241013,http://www.segye.com/newsView/20241013508479?OutUrl=naver
"기아, 새로운 다문화 사회공헌 사업 '하모니움' 실시",뉴시스,20241014,https://www.newsis.com/view/NISX20241014_0002919555
"기아, 오션클린업과 해양 폐플라스틱 활용 트렁크 매트 선봬",연합뉴스,20241015,https://www.yna.co.kr/view/AKR20241015032000003?input=1195m
"현대차·기아, 세계 최초 프레스 금형 설계 자동화 개발",뉴시스,20241016,https://www.newsis.com/view/NISX20241016_0002921861
"[단독] 현대차·기아, 부품 내재화로 계열사 공급망 리스크 줄인다",파이낸셜뉴스,20241017,http://www.fnnews.com/news/202410171835353736
"밀라노 달군 기아의 '디자인 철학', 서울 성수동서 만난다",노컷뉴스,20241018,https://www.nocutnews.co.kr/news/6229509?utm_source=naver&utm_medium=article&utm_campaign=20241018103839
"현대차·기아, 3분기 매출 70조 넘을까?[현대차그룹 3분기 실적 전망①]",뉴시스,20241019,https://www.newsis.com/view/NISX20241018_0002925880
믹스개선으로 수요둔화 돌파…현대차·기아 3분기 기준 최대실적,연합뉴스,20241020,https://www.yna.co.kr/view/AKR20241020015700003?input=1195m
"기아, 프로야구 한국시리즈 MVP에 EV6 차량 제공",연합뉴스,20241021,https://www.yna.co.kr/view/AKR20241021108300007?input=1195m
"기아-광주관광공사, 한국시리즈 1~5차전 야외응원전",뉴시스,20241022,https://www.newsis.com/view/NISX20241022_0002929478
현대차·기아 '2024 R&D 테크데이',연합뉴스,20241023,https://www.yna.co.kr/view/PYH20241023080000013?input=1196m
"기아, 준중형 SUV '더 뉴 스포티지' 티저 공개",뉴시스,20241024,https://www.newsis.com/view/NISX20241024_0002932070
"기아, 판매 줄었지만 실적은 '역대 3분기 최고'",뉴시스,20241025,https://www.newsis.com/view/NISX20241025_0002934251
'일일 기아팬 자처',뉴스1,20241026,https://www.news1.kr/photos/6950611
"[단독] 최대 실적 올렸는데도…기아, 희망퇴직 받았다",국민일보,20241027,https://www.kmib.co.kr/article/view.asp?arcid=0020664041&code=61141411&cp=nv
"기아, 다문화 가정 위한 하모니움 페스티벌",한국경제,20241028,https://www.hankyung.com/article/2024102845831
"""461兆 픽업트럭 시장 판 흔들 것""…기아 타스만 출격",한국경제,20241029,https://www.hankyung.com/article/2024102971101
"[르포] 기아, 사우디 최대 '딜러숍' 가보니…젊은층 '북적북적'",더팩트,20241030,http://news.tf.co.kr/read/economy/2145761.htm
"기아, 국내 다섯 쌍둥이 가정에 9인승 '신형 카니발' 선물",지디넷코리아,20241031,https://zdnet.co.kr/view/?no=20241031145005
[단독] 협력사 또 뚫렸다‥현대차·기아 신차 계획 줄줄이 유출,MBC,20241101,https://imnews.imbc.com/replay/2024/nwdesk/article/6652171_36515.html
현대차·기아 10월 美판매 두자릿수 증가…하이브리드가 효자,연합뉴스,20241102,https://www.yna.co.kr/view/AKR20241102003200075?input=1195m
"현대차·기아, 신기술 '오픈 이노베이션 라운지' 성료",뉴시스,20241103,https://www.newsis.com/view/NISX20241103_0002944341
