제목,언론사,날짜,링크
"방산업계, 민관협력·시장다변화로 수출 확대 앞장선다",뉴데일리,20240101,https://biz.newdaily.co.kr/site/data/html/2023/12/29/2023122900222.html
발언하는 신익현 LIG넥스원 신임 사장,연합뉴스,20240102,https://www.yna.co.kr/view/PYH20240102085900013?input=1196m
"[신년사] LIG넥스원 신익현 사장 ""안정, 신뢰, 성장"" 방점",여성소비자신문,20240103,http://www.wsobi.com/news/articleView.html?idxno=226813
"LIG넥스원, 새해 맞아 현충원서 '애국 시무식' 실시",연합뉴스,20240104,https://www.yna.co.kr/view/PYH20240104099200013?input=1196m
LIG넥스원 임직원 70여명 새해 맞아 현충원서 '애국 시무식' 실시...20년...,뉴스로드,20240105,http://www.newsroad.co.kr/news/articleView.html?idxno=26956
"반복되는 국과연 폭발 사고, 주민 불안감 갈수록 커져",굿모닝충청,20240106,http://www.goodmorningcc.com/news/articleView.html?idxno=302541
"[기획]K-방산, 新냉전시대 폭풍성장 이어간다",매일일보,20240107,http://www.m-i.kr/news/articleView.html?idxno=1082183
"LIG넥스원, 고스트로보틱스 경영권 인수…""미국 방산 시장 진출""",블로터,20240108,https://www.bloter.net/news/articleView.html?idxno=610447
"LIG넥스원, 하이게인안테나 등 25개사 321억 선급금 지급",뉴시스,20240109,http://www.newsis.com/view/?id=NISX20240109_0002585876&cID=10403&pID=15000
"구미시, '신성장 동력' 로봇산업 육성한다…LG전자·LIG넥스원 등 로봇기...",매일신문,20240110,https://www.imaeil.com/page/view/2024011012443725604
"LIG넥스원, 창립 50주년 앞두고 사사 편찬 착수",직썰,20240111,https://www.ziksir.com/news/articleView.html?idxno=49925
[김민수의 주식 파파라치] '분기 최대 실적 예상' 성장은 계속된다! LIG넥...,머니투데이방송,20240112,https://news.mtn.co.kr/news-detail/2024011215543159984
"입는 로봇 ""인체 한계 없앤다""…현실에 등장하는 아이언맨 슈트[아무Tec...",뉴스1,20240113,https://www.news1.kr/articles/5288554
하이즈항공 주가 햇볕드나...조립 계약금 변경 주목,핀포인트뉴스,20240114,https://www.pinpointnews.co.kr/news/articleView.html?idxno=238436
"한화에어로스페이스·LIG넥스원·풍산, 北 도발 때마다 뜬다",인사이트코리아,20240115,http://www.insightkorea.co.kr/news/articleView.html?idxno=126854
로봇을 성장 동력으로…구미시 로봇기업 4곳과 협약,MBN,20240116,http://www.mbn.co.kr/pages/news/newsView.php?news_seq_no=4995106
LS·LIG넥스원 '1·2위'…'큰손' 국민연금 뭐 담았나 보니,한경비즈니스,20240117,https://magazine.hankyung.com/business/article/202401170400b
방산 3사 힘 합친 '천궁-Ⅱ' 말레이시아 수출 '청신호',비즈한국,20240118,https://www.bizhankook.com/article/26975
타우러스 미사일이 KF-21에 쓰일 수 있을까,세계일보,20240119,http://www.segye.com/newsView/20240119504916?OutUrl=naver
에이스테크 주가 초강세...새해 들어 남북간 긴장 고조,핀포인트뉴스,20240120,https://www.pinpointnews.co.kr/news/articleView.html?idxno=239826
"휘청이는 1월 증시…""반도체 믿고 방산·AI 담아라""",한국경제,20240121,https://www.hankyung.com/article/202401196894i
"작년 K-방산 '빅4' 매출·영업익 '껑충'…""수출 증가 영향""",연합뉴스,20240122,https://www.yna.co.kr/view/AKR20240121019000003?input=1195m
"LIG넥스원의 무인수상정, UAE 출격…중동 '방산 한류' 노린다",한경비즈니스,20240123,https://magazine.hankyung.com/business/article/202401235130b
"[게시판] LIG넥스원, UAE 아크부대에 기부금 전달",연합뉴스,20240124,https://www.yna.co.kr/view/AKR20240124055600003?input=1195m
[배정철 이야기] 에쓰오일·LIG넥스원·코오롱그룹 외,프라임경제,20240125,http://www.newsprime.co.kr/news/article.html?no=626003
"LIG넥스원, ‘아크부대’에 기부금 전달…국내 방산업체로는 처음",디지틀조선일보,20240126,http://digitalchosun.dizzo.com/site/data/html_dir/2024/01/25/2024012580143.html
[코스피 200] 미래에셋증권 7.56% 껑충…지수 구성종목 중 상승률 1위,핀포인트뉴스,20240127,https://www.pinpointnews.co.kr/news/articleView.html?idxno=241342
"코스피, 외인·기관 매수에 2,500선 회복…외국인 삼성전자·기아·현대...",톱스타뉴스,20240129,http://www.topstarnews.net/news/articleView.html?idxno=15450862
"구미시-LIG넥스원, 국가 미사일방어체계 핵심전력으로 거듭난다",아시아경제,20240130,https://view.asiae.co.kr/article/2024013011484940396
"LIG넥스원, 장사정포요격체계 전용 조립·점검장 완공",지디넷코리아,20240131,https://zdnet.co.kr/view/?no=20240131174718
"LIG넥스원, 장사정포요격체계 전용 조립·점검장 준공",이코노뉴스,20240201,http://www.econonews.co.kr/news/articleView.html?idxno=324730
중동 시장 잡자…사우디로 집결하는 K-방산 [비즈360],헤럴드경제,20240202,http://news.heraldcorp.com/view.php?ud=20240201000865
박진호 국민의힘 상주문경 예비후보 공약이행을 위한 선제적 행보,대구신문,20240203,https://www.idaegu.co.kr/news/articleView.html?idxno=448612
"LIG넥스원, 최근 2년 간 직원 1000명 넘게 늘었다",CEO스코어데일리,20240204,https://www.ceoscoredaily.com/page/view/2024020214234701371
"LIG넥스원, 사우디 개최 중동 방산전시회 'WDS 2024' 참가",연합뉴스,20240205,https://www.yna.co.kr/view/AKR20240205027900003?input=1195m
"[속보] LIG넥스원, 사우디와 4조2500억 규모 ‘천궁-II’ 수출계약",서울경제,20240206,https://www.sedaily.com/NewsView/2D597CJQ7C
"KB증권 ""LIG넥스원 올해 영업익 추정치↑…수주 호조""",연합뉴스,20240208,https://www.yna.co.kr/view/AKR20240208027400008?input=1195m
"폭연 가득한 세계의 화약고, 불 붙은 방산주…변수는?",머니투데이,20240209,http://news.mt.co.kr/mtview.php?no=2024020816421066324
한국 항공기 수출 첫 10억달러 돌파…‘FA-50 효과’ 톡톡,세계일보,20240210,http://www.segye.com/newsView/20240210503452?OutUrl=naver
"현대로템–LIG넥스원, 중동 방산수출 협력 MOU 체결",헬로티,20240211,https://www.hellot.net/news/article.html?no=86698
"LIG넥스원 잇단 경영 호재, 기업 성과와 직결될까?",굿모닝충청,20240212,http://www.goodmorningcc.com/news/articleView.html?idxno=304481
"LIG넥스원, 수주 증가 및 실적 개선폭 확대 기대-현대차증권",EBN,20240213,https://www.ebn.co.kr/news/view/1612513/?sc=Naver
"LIG넥스원, 800억 규모 펀드 조성 ""K방산 혁신 생태계 마중물""",한경비즈니스,20240214,https://magazine.hankyung.com/business/article/202402142779b
"올해도 ""진격 앞으로""…한화·현대로템·LIG넥스원, 수출 확대 기대",더팩트,20240215,http://news.tf.co.kr/read/economy/2075587.htm
"LIG넥스원, 한국항공대와 '다분야 위성' 공동개발 맞손",지디넷코리아,20240216,https://zdnet.co.kr/view/?no=20240216170603
"LIG넥스원, 한국항공대학교와 '다분야 위성 공동개발' 업무 협약 체결",국제뉴스,20240217,https://www.gukjenews.com/news/articleView.html?idxno=2923513
LIG넥스원-항공대 ‘다분야 위성 공동개발’ 맞손,FETV,20240218,https://www.fetv.co.kr/news/article.html?no=159137
"LIG넥스원, 수주잔고 증가로 성장성 이어져…목표가↑-신한",이데일리,20240219,http://www.edaily.co.kr/news/newspath.asp?newsid=01315286638792160
"한화에어로, LIG넥스원과 1663억 규모 공급계약 체결",한국경제TV,20240220,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202402200410&t=NN
"LIG넥스원, 한화에어로와 1663억원 규모 계약에 '강세'",머니투데이,20240221,http://news.mt.co.kr/mtview.php?no=2024022109294711041
"LIG넥스원, 내달 25일 주총…신익현 사장 사내이사 선임",뉴스1,20240222,https://www.news1.kr/articles/5328920
"""K-방산이 뜬다"" 한화에어로·LIG넥스원 등↑… 지속 성장 기대",머니S,20240223,https://www.moneys.co.kr/article/2024022213554828408
현대와 한화 싸움에…정작 'KDDX'가 안보인다[김관용의 軍界一學],이데일리,20240225,http://www.edaily.co.kr/news/newspath.asp?newsid=01180806638794128
"""국산 최첨단 유도무기 대규모 수출 쾌거""…LIG넥스원, 중동서 K-방산 새...",아시아투데이,20240226,https://www.asiatoday.co.kr/view.php?key=20240225010012382
"이건혁 LIG넥스원 생산부문장 ""방산부품 최적의 공급지, 업체 투자 활발...",매일신문,20240227,https://www.imaeil.com/page/view/2024022611111749100
“역시 무기는 한국산”…판매요청 쏟아지며 올해 56% 치솟은 이 종목,매일경제,20240228,https://www.mk.co.kr/article/10953136
"HD현대중, LIG넥스원과 수출형 잠수함 개발 협력",연합뉴스,20240229,https://www.yna.co.kr/view/AKR20240229055200057?input=1195m
