제목,언론사,날짜,링크
"배스 41점 폭발…KT, 정관장 꺾고 5연승 질주",뉴시스,20240211,http://www.newsis.com/view/?id=NISX20240211_0002623376&cID=10505&pID=10500
"직장인이 KT 'AI 대학원' 간 사연…등록금 지원받고, 엔비디아 GPU로 실험...",블로터,20240212,https://www.bloter.net/news/articleView.html?idxno=612024
"KT, 글로벌 AI 콘퍼런스 'Remarkable 2024' 참가",뉴스1,20240213,https://www.news1.kr/articles/5318706
"KT, 랑톡에 통화내용 텍스트 변환·감정분석 기능 추가",지디넷코리아,20240214,https://zdnet.co.kr/view/?no=20240214085427
KT 미래 책임질 ‘AI전문가 등 1000명’ 채용,파이낸셜뉴스,20240215,http://www.fnnews.com/news/202402151826531615
"KT, '이강인 모델' 갤럭시 S24 포스터 철거",노컷뉴스,20240216,https://www.nocutnews.co.kr/news/6097033
"KT 불화설 이강인 광고 포스터 철거…""프로모션 종료""",뉴스1,20240217,https://www.news1.kr/articles/5323551
"KT, MWC서 편리성·보안성 더한 혁신 네트워크 서비스 공개",아시아경제,20240218,https://view.asiae.co.kr/article/2024021809315862916
"KT클라우드, 투라인코드와 클라우드 네이티브 사업 확대",뉴시스,20240219,http://www.newsis.com/view/?id=NISX20240219_0002630866&cID=10406&pID=13100
"KT, AI·모빌리티 우수 협력사 5곳과 MWC 동행",뉴스1,20240220,https://www.news1.kr/articles/5325614
"KT, 이노와이어리스와 5G·LTE 동시 지원 스몰 셀 개발",연합뉴스,20240221,https://www.yna.co.kr/view/AKR20240221045300017?input=1195m
"KT, IPTV '프라임슈퍼팩'서 극장 상영영화 월 2편 무료",지디넷코리아,20240222,https://zdnet.co.kr/view/?no=20240222085233
"""KT 부가서비스로 보이스피싱 예방하세요""",지디넷코리아,20240223,https://zdnet.co.kr/view/?no=20240223095930
KT 2차 스프링캠프의 박병호와 황재균,뉴스1,20240224,https://www.news1.kr/photos/view/?6499155
"KT, MWC서 차세대 네트워크 기술과 초거대 AI 공개",이코노미스트,20240225,https://economist.co.kr/article/view/ecn202402250002
"[MWC 24] ""하늘 나는 택시 상용 앞당긴다""…KT, UAM 안전성 기술 소개",뉴시스,20240226,http://www.newsis.com/view/?id=NISX20240225_0002638589&cID=13005&pID=13100
"""초고층 빌딩도 데이터 씽씽""…KT, 통신 커버리지 확장 RIS 개발 [MWC 24]",뉴시스,20240227,http://www.newsis.com/view/?id=NISX20240226_0002640166&cID=13005&pID=13100
김영섭 KT 대표 “ICT에 AI를 더한 ‘AICT’ 기업으로 거듭날 것”,이코노미스트,20240228,https://economist.co.kr/article/view/ecn202402280007
[단독]'KT 준법위' 컴플라이언스위원장에 '검찰 특수통' 김후곤 내정,머니S,20240229,https://www.moneys.co.kr/article/2024020513465962264
"KT-나스미디어, AI 문맥광고 서비스 공개[MWC24]",이데일리,20240301,http://www.edaily.co.kr/news/newspath.asp?newsid=01321846638819056
"프로농구 부산 KCC, kt에 역전승",YTN,20240302,https://www.ytn.co.kr/_ln/0107_202403021848233776
"[MWC] KT, 'AICT 컴퍼니' 도약 발판 마련",지디넷코리아,20240303,https://zdnet.co.kr/view/?no=20240303090229
"KT, 온라인 전용 결합상품 '요고뭉치' 출시",뉴스핌,20240304,https://www.newspim.com/news/view/20240304000408
"[단독] ""우리가 2위"" KT·LG유플의 기싸움…통계 기준 바뀐다 [정지은의...",한국경제,20240305,https://www.hankyung.com/article/202403058635i
"여성 고객 집에는 남녀 함께 출동…KT, 안심케어 서비스",연합뉴스,20240306,https://www.yna.co.kr/view/AKR20240306048000017?input=1195m
"""티빙 3개월 무료""…KT 매장 방문만 해도 가능",뉴시스,20240307,http://www.newsis.com/view/?id=NISX20240307_0002651490&cID=13005&pID=13100
"KT, AICT 트렌드 세미나 개최",지디넷코리아,20240308,https://zdnet.co.kr/view/?no=20240308092038
"배스 원맨쇼…프로농구 kt, 현대모비스 꺾고 2위 수성",연합뉴스,20240309,https://www.yna.co.kr/view/AKR20240309040600007?input=1195m
"이강철 kt 감독 ""피치 클록, 선수들에게 심리적 압박감""",연합뉴스,20240310,https://www.yna.co.kr/view/AKR20240310020500007?input=1195m
"SSG 이숭용 감독, 시범경기에서 '친정' kt 상대로 첫 승리",연합뉴스,20240311,https://www.yna.co.kr/view/AKR20240311113500007?input=1195m
"KT 판교 신사옥 공사비 갈등…쌍용건설 ""곧 2차 시위""",뉴시스,20240312,http://www.newsis.com/view/?id=NISX20240312_0002657162&cID=10405&pID=10400
"KT, 노바테크와 손잡고 로봇 기반 물류 플랫폼 사업 추진",한국경제,20240313,https://www.hankyung.com/article/202403136508g
KT 희망나눔인상에 '레인보우해피잡 협동조합' 선정,뉴스1,20240314,https://www.news1.kr/articles/5350017
