제목,언론사,날짜,링크
"LIG넥스원, -3.35% VI 발동",조선비즈,20200319,https://biz.chosun.com/site/data/html_dir/2020/03/19/2020031903101.html?utm_source=naver&utm_medium=original&utm_campaign=biz
"LIG넥스원, +3.73% 상승폭 확대",조선비즈,20200320,https://biz.chosun.com/site/data/html_dir/2020/03/20/2020032001496.html?utm_source=naver&utm_medium=original&utm_campaign=biz
스텔스기 개발 야망 드러낸 日…“한반도가 위험하다” [박수찬의 軍],세계일보,20200321,http://www.segye.com/content/html/2020/03/20/20200320507509.html?OutUrl=naver
"21세기 현대전의 핵심 전력, 디지털 전술정보통신체계",매일경제,20200323,http://uberin.mk.co.kr/view.php?year=2020&no=298593
"LIG넥스원, 전일대비 7.85% 상승... 하락 흐름 중 단기 급등 발생",뉴스핌,20200324,http://www.newspim.com/news/view/20200324002504
"LIG넥스원 생산5팀, 후원금·마스크 전달",대경일보,20200325,http://m.dkilbo.com/news/articleView.html?idxno=208960
"LIG넥스원 생산5팀, 초록우산어린이재단 경북지역본부에 후원금·마스크...",경북일보,20200326,http://www.kyongbuk.co.kr/news/articleView.html?idxno=2035070
"'LIG넥스원' 5% 이상 상승, 주가 5일 이평선 상회, 단기·중기 이평선 역...",한국경제,20200327,https://www.hankyung.com/finance/article/202003275155L
구자원 LIG넥스원 명예회장 별세,더팩트,20200328,http://news.tf.co.kr/read/economy/1787319.htm
LIG 성장 이끌었던 `균형과 절제` 경영인,매일경제,20200329,http://news.mk.co.kr/newsRead.php?no=324672&year=2020
[명복을 빕니다]구자원 LIG그룹 명예회장,동아일보,20200330,http://www.donga.com/news/article/all/20200330/100404462/1
"LIG넥스원, 특별관계자 지분변동",국민일보,20200331,http://news.kmib.co.kr/article/view.asp?arcid=0014426597&code=61141211&cp=nv
"NH證 ""LIG넥스원, 코로나19 영향 제한적…北도발에 관심""",뉴시스,20200401,https://n.news.naver.com/article/003/0009788644?sid=101
"LIG넥스원, 드론 사업 키운다…핵심기술 中企에 지분 투자",조선비즈,20200402,https://biz.chosun.com/site/data/html_dir/2020/04/02/2020040202032.html?utm_source=naver&utm_medium=original&utm_campaign=biz
"퍼스텍, +6.44% 상승폭 확대",조선비즈,20200403,https://biz.chosun.com/site/data/html_dir/2020/04/03/2020040302658.html?utm_source=naver&utm_medium=original&utm_campaign=biz
"LIG넥스원, 특별관계자 지분변동",국민일보,20200406,https://n.news.naver.com/article/005/0001308363?sid=101
방사청·ADD·LIG넥스원 공조 '비궁' 수출길 활짝,아주경제,20200407,http://www.ajunews.com/view/20200407101138625
"[오늘Who] 김지찬, 유도무기 미국 공인에 LIG넥스원 해외수주 힘받아",비즈니스포스트,20200408,http://m.businesspost.co.kr/BP?command=mobile_view&idxno=172831
코로나에 전시회 취소·연기…상반기 '장사' 난감해진 방산업계,이데일리,20200409,https://n.news.naver.com/article/018/0004616878?sid=101
"금오공대-LIG넥스원, 미래 신산업 육성 '맞손'",뉴시스,20200410,https://n.news.naver.com/article/003/0009808163?sid=102
기업공시[4월 10일],서울경제,20200411,https://n.news.naver.com/article/011/0003723146?sid=101
튀는 이름도 무기다…K방산 브랜드 시대,한국경제,20200412,https://www.hankyung.com/economy/article/2020041242151
"美도 인정한 백발백중 유도로켓, 해외매출 정조준",중소기업뉴스,20200413,http://news.kbiz.or.kr/news/articleView.html?idxno=66243
"LIG넥스원, 1892억 규모 선급금 지급 결정",이데일리,20200414,http://www.edaily.co.kr/news/newspath.asp?newsid=03729366625736120
기업공시[4월 14일],서울경제,20200415,https://www.sedaily.com/NewsView/1Z1HGENFV3
"LIG넥스원㈜, 2020년 상반기 신입/경력사원 공개채용 4월 19일 마감",에너지경제,20200416,http://www.ekn.kr/news/article.html?no=494279
"LIG넥스원, 4월 19일까지 상반기 신입 및 경력사원 채용",에너지경제,20200417,http://www.ekn.kr/news/article.html?no=494458
"KAI, 연구개발 정부보조금 670억원…500대 기업 중 최고",CEO스코어데일리,20200419,http://www.ceoscoredaily.com/news/article.html?no=68489
