제목,언론사,날짜,링크
"현대·기아차, 지난해 719만대 판매…5년 연속 판매목표 달성 실패",조선비즈,20200102,https://biz.chosun.com/site/data/html_dir/2020/01/02/2020010202655.html?utm_source=naver&utm_medium=original&utm_campaign=biz
현대·기아차 전기차 '질주' 수출 2배 넘게 뛰었다,파이낸셜뉴스,20200103,http://www.fnnews.com/news/202001031803214471
"“국산 중형세단 맞아?”…기아 신형 K5, 흥행 비결은 ‘Key 5’",매일경제,20200104,http://news.mk.co.kr/newsRead.php?no=11341&year=2020
기아의 역사를 바꾼 모델,GQ,20200105,http://www.gqkorea.co.kr/2020/01/05/%ea%b8%b0%ec%95%84%ec%9d%98-%ec%97%ad%ec%82%ac%eb%a5%bc-%eb%b0%94%ea%be%bc-%eb%aa%a8%eb%8d%b8/?utm_source=naver&utm_medium=partnership
"기아 팬, 안치홍 이적에 “프랜차이즈를 단칼에…이게 야구단이냐”",동아일보,20200106,http://www.donga.com/news/article/all/20200106/99103423/2
"이베스트 ""기아차 실적 개선 기대…업종 최선호주""",연합뉴스,20200107,http://yna.kr/AKR20200107027900008?did=1195m
쌍용차⋅현대차⋅기아차 설 연휴 맞아 무상 시승 이벤트,한국농어촌방송,20200108,http://www.newskr.kr/news/articleView.html?idxno=36069
"기아차, 호주오픈 테니스 대회 '볼키즈' 20명 파견",연합뉴스,20200109,http://yna.kr/AKR20200109065100003?did=1195m
'격랑 속' 車업계 임단협…르노삼성 이어 기아차도 파업,데일리안,20200110,http://www.dailian.co.kr/news/view/860230?sc=Naver
"기아차, 신차 효과에 양호한 실적까지…""기대되는 2020""",아시아경제,20200111,https://view.asiae.co.kr/article/2020011115485225541
"현대기아차, 신차-SUV-제네시스로 美 시장 공략",매일경제,20200112,http://news.mk.co.kr/newsRead.php?no=37207&year=2020
"현대·기아차, 20~23日 설 특별 무상점검 서비스 실시",매일경제,20200113,http://news.mk.co.kr/newsRead.php?no=38679&year=2020
"“엠블럼부터 차종·사업 범위까지 다 바꾼다”…기아차, 중장기 전략 ...",동아일보,20200114,http://www.donga.com/news/article/all/20200114/99223100/2
현대기아차 이어 NHN도 점찍은 '마카롱택시'…총 230억 투자 유치,한국경제,20200115,https://www.hankyung.com/it/article/202001159268g
"기아차, 'KIA RED MEMBERS' 전기차 신용카드 출시",뉴시스,20200116,http://www.newsis.com/view/?id=NISX20200116_0000890546&cID=13001&pID=13000
"현대·기아차, 英 어라이벌사에 1290억원 전략 투자",국민일보,20200117,http://news.kmib.co.kr/article/view.asp?arcid=0924118658&code=11151400&cp=nv
"해 넘긴 임금협상, 기아차 노조 '2차 임단협' 최종 타결",한국경제,20200118,https://www.hankyung.com/economy/article/2020011861287
SUV 선전에 환율효과까지…현대기아차 실적 큰폭 개선 기대,연합뉴스,20200119,http://yna.kr/AKR20200118031900003?did=1195m
"현대캐피탈 딜카 ""월 구독료 내고 현대·기아차 골라타세요""",뉴스1,20200120,http://news1.kr/articles/?3820738
"S&P, 현대차·기아차 'BBB+' 신용등급 유지",연합뉴스,20200121,http://yna.kr/AKR20200121170800008?did=1195m
"기아차, 지난해 영업이익 2조97억원…전년보다 73.6% ↑",매일경제,20200122,http://news.mk.co.kr/newsRead.php?no=74848&year=2020
