제목,언론사,날짜,링크
"성적 갈린 K게임사, 넥슨·크래프톤만 웃었다",디지털타임스,20240212,https://www.dt.co.kr/contents.html?article_no=2024021202109931065002&ref=naver
"크래프톤, 4Q 어닝서프라이즈…목표가 26%↑-대신",이데일리,20240213,http://www.edaily.co.kr/news/newspath.asp?newsid=01390726638790192
크래프톤 52주 신고가 경신..희비 엇갈리는 게임주,파이낸셜뉴스,20240214,http://www.fnnews.com/news/202402141603214496
[단독] “구조조정 칼바람 분다”…해외 공룡기업 한국지사 대대적 감원...,매일경제,20240215,https://www.mk.co.kr/article/10943808
"크래프톤, '2024 자낳대' 개최…네이버 치지직서 생중계",한국경제TV,20240216,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202402160049&t=NN
"[청기홍기]크래프톤 웃고, 엔씨소프트·넥슨 울고",비즈워치,20240217,http://news.bizwatch.co.kr/article/market/2024/02/16/0015
"""10조 게임시장 잡자""…크래프톤, 印 인재 입도선매",서울경제,20240218,https://www.sedaily.com/NewsView/2D5EQ5ZSJX
넥슨·크래프톤 웃고 엔씨 울었다… 작년 게임사 실적 보니,국민일보,20240219,https://www.kmib.co.kr/article/view.asp?arcid=0019807993&code=61151111&cp=nv
"크래프톤 '배틀그라운드 모바일', 인도서 누적매출 1억달러 달성",이데일리,20240220,http://www.edaily.co.kr/news/newspath.asp?newsid=02735526638792488
[게임스톡] 크래프톤 5거래일 연속 하락세 2.59%↓,더게임스데일리,20240221,https://www.tgdaily.co.kr/news/articleView.html?idxno=330929
"크래프톤 '인조이', 4월 중 깜짝 발표 예고",게임뷰,20240222,http://www.gamevu.co.kr/news/articleView.html?idxno=31296
"라구나인베, 혹한기 뚫고 500억 펀드 결성…네이버·크래프톤 등 ‘1세대...",조선비즈,20240223,https://biz.chosun.com/stock/stock_general/2024/02/23/GADW3LLMLZGJ5LNZX45QO7UORY/?utm_source=naver&utm_medium=original&utm_campaign=biz
"게임업계, 곳곳이 저작권 분쟁 ‘소용돌이’",뷰어스,20240224,http://theviewers.co.kr/View.aspx?No=3138668
'데이브 더 다이버' 개발자가 차린 회사…게임사들 '러브콜',한국경제,20240225,https://www.hankyung.com/article/202402258088i
"크래프톤 메타버스 '오버데어', USD 코인으로 정산된다",뉴시스,20240226,http://www.newsis.com/view/?id=NISX20240226_0002639264&cID=13008&pID=13100
"크래프톤, CFO에 스톡옵션 도입 논의…""책임경영으로 주주가치 제고""",지디넷코리아,20240227,https://zdnet.co.kr/view/?no=20240227180340
"데브시스터즈⋅크래프톤, ‘쿠키런’ 인도 현지 퍼블리싱 계약 체결",이코노미스트,20240228,https://economist.co.kr/article/view/ecn202402280010
"크래프톤, 3월 'PMPS 2024 시즌 0' 개최…기대감UP",엑스포츠뉴스,20240229,https://www.xportsnews.com/article/1829667
"크래프톤, ‘PMPS 2024 시즌 0’ 오프라인 개최",국민일보,20240301,https://www.kmib.co.kr/article/view.asp?arcid=0019847462&code=61162013&cp=nv
"게임사 주총 본격 개막…사령탑 바뀌는 2N2K, 크래프톤은 ’책임 경영’",서울경제,20240302,https://www.sedaily.com/NewsView/2D6H97I731
"크래프톤, 디펜스 더비 신규 유닛 '개구리 왕자 3세' 출시",이뉴스투데이,20240303,http://www.enewstoday.co.kr/news/articleView.html?idxno=2096610
"[게임소식] 크래프톤 '배틀그라운드 모바일', 컴투스 '낚시의 신' 등",한스경제,20240304,http://www.hansbiz.co.kr/news/articleView.html?idxno=682803
크래프톤 저력 중동서 통했다,중소기업신문,20240305,http://www.smedaily.co.kr/news/articleView.html?idxno=283368
주가 희비 갈린 '게임주'… 크래프톤 '52주 신고가'경신,폴리뉴스,20240306,https://www.polinews.co.kr/news/articleView.html?idxno=637774
"넷마블·크래프톤·네오위즈, '유명 외부 IP' 수혈해 대박 노린다...팬층...",소비자가 만드는 신문,20240307,http://www.consumernews.co.kr/news/articleView.html?idxno=701119
"""이용자 80% 급감""…중국 '핵 프로그램'에 몸살 앓는 K-게임",아이뉴스24,20240308,http://www.inews24.com/view/1695165
나 홀로 잘나가는 크래프톤…주주환원 기대도 커진다,한국경제,20240309,https://www.hankyung.com/article/2024030873346
희비 엇갈리는 게임주···크래프톤의 독주,매일경제,20240310,https://www.mk.co.kr/article/10960590
"크래프톤, 2024년 '배틀그라운드' 개발 계획 발표…팬들 관심 집중",엑스포츠뉴스,20240311,https://www.xportsnews.com/article/1833520
"크래프톤, 2024 배틀그라운드 로드맵 발표",프레스맨,20240312,https://www.pressman.kr/news/articleView.html?idxno=78788
"크래프톤 5민랩, '스매시 레전드' 신규 레전드 피노키오 추가",지디넷코리아,20240313,https://zdnet.co.kr/view/?no=20240313104932
"크래프톤, ""인도서 BGMI 차단 사실무근""…구자라트주와 협력",연합뉴스,20240314,https://www.yna.co.kr/view/AKR20240314107400017?input=1195m
"[컴앤스톡] 크래프톤, 실적·주가 상승세에 '시총 1위' 굳히기",머니S,20240315,https://www.moneys.co.kr/article/2024031414483850623
[유안타證 주간추천주]크래프톤·삼성바이오로직스·파인엠텍,이데일리,20240316,http://www.edaily.co.kr/news/newspath.asp?newsid=01354646638823976
'印장병규 나올까'…크래프톤 인도 멘토링에 200여개 기업 몰렸다,서울경제,20240317,https://www.sedaily.com/NewsView/2D6O5FQX6H
"김창한 크래프톤 대표, 지난해엔 보수 35억…전년比 242% 오른 사연",뉴시스,20240318,https://www.newsis.com/view/?id=NISX20240318_0002665119&cID=13008&pID=13100
크래프톤 AI전략팀 업무 설명하는 김도균 매니저,연합뉴스,20240319,https://www.yna.co.kr/view/PYH20240319019100017?input=1196m
"[CEO NOW]크래프톤 장병규 ""AI·메타버스는 반 보만 빨리…우리 바이블은...",디지털타임스,20240320,https://www.dt.co.kr/contents.html?article_no=2024032002109931650001&ref=naver
"크래프톤, '배틀그라운드' 출시 7주년 맞이 주요 기록 공개",지디넷코리아,20240321,https://zdnet.co.kr/view/?no=20240321145405
