제목,언론사,날짜,링크
우리카드 마테이 시즌 아웃의 ‘나비 효과’…대한항공의 무라드·링컨...,세계일보,20240209,http://www.segye.com/newsView/20240209506543?OutUrl=naver
'FA-50 효과'…한국 항공기 수출 첫 10억달러 돌파,연합뉴스,20240210,https://www.yna.co.kr/view/AKR20240207167600003?input=1195m
"'14블로킹' 고공행진 대한항공, 74일 만에 남자배구 1위 탈환",연합뉴스,20240211,https://www.yna.co.kr/view/AKR20240211020400007?input=1195m
대한항공이 합병 위해 내놓은 알짜 사업들[항공업계 지각변동②],뉴시스,20240212,http://www.newsis.com/view/?id=NISX20240207_0002621065&cID=13001&pID=13000
"대한항공, '기업결합' EU도 통과…14개국중 13개국 완료",뉴시스,20240213,http://www.newsis.com/view/?id=NISX20240213_0002625346&cID=13001&pID=13000
"EU, 대한항공-아시아나 합병 '조건부 승인'…미국만 남아",SBS,20240214,https://news.sbs.co.kr/news/endPage.do?news_id=N1007535119&plink=ORI&cooper=NAVER
[단독] 대한항공 불참...차세대발사체 다음주 입찰,한국경제TV,20240215,https://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202402150131&t=NNv
"대한항공, 정기 임원인사…부사장 1명 등 22명 승진",뉴시스,20240216,http://www.newsis.com/view/?id=NISX20240216_0002629475&cID=13001&pID=13000
"'짜릿한 역전승' 대한항공, 2위 우리카드 잡고 선두 유지(종합)",뉴시스,20240217,http://www.newsis.com/view/?id=NISX20240217_0002630132&cID=10506&pID=10500
지난해 국내선 '지연율 1위' 항공사는?,이코노미스트,20240218,https://economist.co.kr/article/view/ecn202402180009
"[단독] 대한항공, 407% 성과급 …0% 아시아나는 직원 달래기",중앙일보,20240219,https://www.joongang.co.kr/article/25229530
"대한항공, 2천770억원 주주 배당…영업익 줄었지만 총액 유지",연합뉴스,20240220,https://www.yna.co.kr/view/AKR20240220145200003?input=1195m
"프로 골퍼 리디아 고, 대한항공 공짜로 타게 된 사연은",파이낸셜뉴스,20240221,http://www.fnnews.com/news/202402211646503118
"[단독] 대한항공, ‘생판 남’ 티웨이에 최신형 ‘A350’ 빌려주는 이유",중앙일보,20240222,https://www.joongang.co.kr/article/25230462
"국토부, 티웨이항공 미인가 기체부품 사용 정황 발견",연합뉴스,20240223,https://www.yna.co.kr/view/AKR20240223094100003?input=1195m
"페퍼저축은행, 극적으로 23연패 탈출...대한항공 1위 복귀",YTN,20240224,https://www.ytn.co.kr/_ln/0107_202402240219387157
아시아나 화물 매각 시동…제주항공·티웨이 주가 요동,헤럴드경제,20240225,http://news.heraldcorp.com/view.php?ud=20240223050700
"대한항공, 에어버스 '스카이와이즈' 예측 유지보수 솔루션 도입",연합뉴스,20240226,https://www.yna.co.kr/view/AKR20240226098300003?input=1195m
대한항공·아시아나 합병 빈자리… LCC 주도권 쟁탈전,서울신문,20240227,https://www.seoul.co.kr/news/economy/industry/2024/02/27/20240227018008&wlog_tag3=naver
[단독] 아시아나 화물사업 인수전에 제주항공 등 LCC 4곳 참여,한국경제,20240228,https://www.hankyung.com/article/202402286050r
‘메가 캐리어’ 출범 임박에 급변하는 항공사 지형…변수는?,한겨레,20240229,https://www.hani.co.kr/arti/economy/marketing/1130423.html
"문제는 미국이 아니다?...대한항공-아시아나, 합병까지 과제",이코노미스트,20240301,https://economist.co.kr/article/view/ecn202402270025
"우리카드, 한국전력 꺾고 선두 대한항공 맹추격",YTN,20240302,https://www.ytn.co.kr/_ln/0107_202403021857026470
"거점 항공사 확보 안 된 가덕신공항, 정부가 결자해지해야",부산일보,20240303,https://www.busan.com/view/busan/view.php?code=2024030318320491097
"대한항공, 모범 납세기업으로 ‘고액 납세의 탑’ 수상",이코노미스트,20240304,https://economist.co.kr/article/view/ecn202403040023
아시아나 화물 인수 후보에 제주항공 등 LCC 4곳 최종 선정,한국경제,20240305,https://www.hankyung.com/article/202403059497g
"""폰만 들고 비행기 탄다""…'패스 스마트항공권'에 대한항공·진에어 추...",뉴시스,20240306,http://www.newsis.com/view/?id=NISX20240306_0002649793&cID=13005&pID=13100
